Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 0, Reward: -30.1022, Test: -20.2347, Avg: -20.2347
Ep: 1, Reward: -25.8938, Test: -25.6458, Avg: -22.9402
Ep: 2, Reward: -23.6358, Test: -22.1159, Avg: -22.6655
Ep: 3, Reward: -18.2874, Test: -27.7468, Avg: -23.9358
Ep: 4, Reward: -16.8217, Test: -30.3201, Avg: -25.2127
Ep: 5, Reward: -23.6884, Test: -35.5312, Avg: -26.9324
Ep: 6, Reward: -35.4478, Test: -30.1361, Avg: -27.3901
Ep: 7, Reward: -23.9055, Test: -33.0707, Avg: -28.1002
Ep: 8, Reward: -34.8253, Test: -54.9994, Avg: -31.0890
Ep: 9, Reward: -47.6210, Test: -35.9265, Avg: -31.5727
Ep: 10, Reward: -46.8665, Test: -48.4828, Avg: -33.1100
Ep: 11, Reward: -25.8067, Test: -57.4310, Avg: -35.1367
Ep: 12, Reward: -55.7596, Test: -31.2713, Avg: -34.8394
Ep: 13, Reward: -42.8495, Test: -70.2571, Avg: -37.3692
Ep: 14, Reward: -55.7631, Test: -37.2860, Avg: -37.3637
Ep: 15, Reward: -38.8215, Test: -44.5756, Avg: -37.8144
Ep: 16, Reward: -36.9557, Test: -61.9110, Avg: -39.2319
Ep: 17, Reward: -55.8389, Test: -9.2525, Avg: -37.5664
Ep: 18, Reward: -25.3322, Test: -73.5840, Avg: -39.4620
Ep: 19, Reward: -55.0312, Test: -77.6283, Avg: -41.3703
Ep: 20, Reward: -45.0442, Test: -10.3665, Avg: -39.8940
Ep: 21, Reward: -48.2017, Test: -42.5350, Avg: -40.0140
Ep: 22, Reward: -41.8845, Test: -52.9770, Avg: -40.5776
Ep: 23, Reward: -44.1090, Test: -32.2120, Avg: -40.2291
Ep: 24, Reward: -61.2810, Test: -44.4283, Avg: -40.3970
Ep: 25, Reward: -35.0543, Test: -39.3644, Avg: -40.3573
Ep: 26, Reward: -56.2561, Test: -54.0919, Avg: -40.8660
Ep: 27, Reward: -48.8334, Test: -40.9234, Avg: -40.8680
Ep: 28, Reward: -61.5593, Test: -57.8593, Avg: -41.4540
Ep: 29, Reward: -59.4752, Test: -60.0136, Avg: -42.0726
Ep: 30, Reward: -59.3968, Test: -71.1696, Avg: -43.0112
Ep: 31, Reward: -41.1885, Test: -63.4849, Avg: -43.6510
Ep: 32, Reward: -43.3403, Test: -59.9036, Avg: -44.1435
Ep: 33, Reward: -49.8990, Test: -49.9473, Avg: -44.3142
Ep: 34, Reward: -61.7234, Test: -54.5542, Avg: -44.6068
Ep: 35, Reward: -63.2509, Test: -65.7659, Avg: -45.1945
Ep: 36, Reward: -56.6580, Test: -53.4480, Avg: -45.4176
Ep: 37, Reward: -53.1238, Test: -40.4606, Avg: -45.2872
Ep: 38, Reward: -49.8049, Test: -51.7521, Avg: -45.4529
Ep: 39, Reward: -44.6883, Test: -50.5948, Avg: -45.5815
Ep: 40, Reward: -39.4910, Test: -57.3150, Avg: -45.8677
Ep: 41, Reward: -39.5635, Test: -45.6574, Avg: -45.8627
Ep: 42, Reward: -54.8889, Test: -45.3501, Avg: -45.8507
Ep: 43, Reward: -53.1387, Test: -36.5188, Avg: -45.6386
Ep: 44, Reward: -52.5868, Test: -55.2140, Avg: -45.8514
Ep: 45, Reward: -24.1405, Test: -27.2150, Avg: -45.4463
Ep: 46, Reward: -38.7672, Test: -55.5404, Avg: -45.6611
Ep: 47, Reward: -58.9297, Test: -57.6826, Avg: -45.9115
Ep: 48, Reward: -58.2598, Test: -28.1072, Avg: -45.5482
